Name,Price,Old Price,Discount,Rating,Number of Reviews,Search Ranking
"Samsung GALAXY A15, 6.5'', 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh - Blue + Smart watch & Power Bank","KSh 18,199","KSh 29,999",39%,4.1 out of 5,4.1 out of 5(99),"Page 3, Rank 24"
"Oppo A17k, 6.56"", 64GB + 3GB RAM (Dual SIM), 5,000mAh, Navy Blue (2YRs WRTY)","KSh 10,863","KSh 14,999",28%,4.3 out of 5,4.3 out of 5(123),"Page 3, Rank 25"
"Oale POP 8 - 6.6"", 128GB (64GB ROM + 64GB SD Card), 3GB RAM, 8MP, 5057mAh, 3G - Black","KSh 7,990","KSh 12,000",33%,4 out of 5,4 out of 5(13),"Page 3, Rank 26"
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Crystal Green","KSh 10,000",,,4.8 out of 5,4.8 out of 5(5),"Page 3, Rank 27"
"Infinix HOT 40i,5000mah,(4GB RAM+128GB ROM) 50MP,TYPE-C,+BUDS WATCH","KSh 13,299","KSh 20,000",34%,4.1 out of 5,4.1 out of 5(211),"Page 3, Rank 28"
XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM NB8,"KSh 13,870","KSh 25,000",45%,4.2 out of 5,4.2 out of 5(6),"Page 3, Rank 29"
"XIAOMI Redmi A3, 6.71"" Display 4GB RAM + 128GB 5000mAh (Dual SIM) - Black + Free gifts","KSh 11,499","KSh 19,999",43%,4.5 out of 5,4.5 out of 5(23),"Page 3, Rank 30"
"Tecno Pova 6 Neo 6.78""FHD+, 256GB+8GB RAM, 50MP, 7000mAh-33W Super Charge- Speed Black","KSh 24,999",,,4.4 out of 5,4.4 out of 5(15),"Page 3, Rank 31"
"Samsung  Galaxy A05S, 6.7"", 90HZ, 4GB RAM + 128GB ROM, 50MP, 5000mAh - Silver","KSh 14,850","KSh 22,999",35%,4.4 out of 5,4.4 out of 5(42),"Page 3, Rank 32"
"VILLAON V20 SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim","KSh 4,700","KSh 7,499",37%,4 out of 5,4 out of 5(4),"Page 3, Rank 33"
